"age","cuentaPropia","estrato1","formal","ingtot","maxEducLevel","parentesco_jhogar","tiempo_trabajando","otro_trabajo","relab","gender","sizeFirm","totalHoursWorked","y_salary_m","y_salary_m_hu","y_ingLab_m","y_primaServicios_m","y_ingLab_m_ha","y_total_m","y_total_m_ha","female","H_Head","mean_ingtot","log_ingtot"
36,"0","2","1",1840833.33333333,"6","1",166,"2","2","1","5",45,1300000,6740.74072265625,1620833.25,650000,8404.3203125,1620833.25,8404.3203125,"0","1",1131978.87310825,14.4257289256083
51,"0","2","1",1878973.33333333,"7","1",12,"2","1","1","3",48,1200000,5833.33349609375,1378973.375,1150000,6703.3427734375,1378973.375,6703.3427734375,"0","1",1131978.87310825,14.4462360863488
45,"0","2","1",883357,"4","1",15,"2","1","1","2",56,737717,3073.82080078125,883357,750000,3680.65405273438,883357,3680.65405273438,"0","1",1131978.87310825,13.6914847013882
61,"0","2","0",1200000,"3","1",120,"2","1","1","4",40,7e+05,4083.33325195312,7e+05,1117460.30167986,4083.33325195312,7e+05,4083.33325195312,"0","1",1131978.87310825,13.9978321147582
35,"0","2","1",1941500,"7","2",24,"2","2","0","5",48,1700000,8263.888671875,1941500.125,850000,9437.84765625,1941500.125,9437.84765625,"1","0",1131978.87310825,14.4789714281539
35,"0","2","1",1083000,"6","1",36,"2","1","0","5",40,950000,5541.66650390625,1083000,9e+05,6317.5,1083000,6317.5,"1","1",1131978.87310825,13.8952455259831
39,"0","2","1",1716333.33333333,"7","2",94,"2","1","1","5",44,1450000,7689.39404296875,1616333.375,1300000,8571.46484375,1616333.375,8571.46484375,"0","0",1131978.87310825,14.3557007903602
29,"1","2","0",1e+06,"7","3",6,"2","4","1","1",40,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1e+06,5833.33349609375,"0","0",1131978.87310825,13.8155105579643
29,"0","2","1",779000,"6","1",24,"2","1","1","2",54,750000,3240.74072265625,779000,1117460.30167986,3366.04931640625,779000,3366.04931640625,"0","1",1131978.87310825,13.5657663248529
44,"1","2","0",3e+05,"5","2",6,"2","4","0","1",42,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,3e+05,1666.66662597656,"1","0",1131978.87310825,12.6115377536383
31,"0","2","1",2121000,"6","3",24,"2","1","1","5",55,1556199.65547918,7945.64299169031,1745416.3438112,0,8822.22934101255,1617550.51747336,8541.87432821598,"0","0",1131978.87310825,14.5673982335468
18,"0","2","0",250000,"6","3",18,"2","1","0","2",84,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"1","0",1131978.87310825,12.4292161968444
55,"0","2","0",9e+05,"6","1",2,"2","5","1","2",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"0","1",1131978.87310825,13.7101500423064
56,"0","2","1",820857,"4","1",30,"2","1","0","5",48,737717,3586.12426757812,820857,0,3990.27709960938,820857,3990.27709960938,"1","1",1131978.87310825,13.6181041954319
23,"0","2","1",1226333.41666667,"7","3",51,"2","1","1","5",40,737717,4303.34912109375,882333.4375,737717,5146.94482421875,882333.4375,5146.94482421875,"0","0",1131978.87310825,14.019539313372
30,"0","2","1",1237806.66666667,"6","3",8,"2","1","1","3",54,8e+05,3456.7900390625,949806.6875,8e+05,4104.10302734375,949806.6875,4104.10302734375,"0","0",1131978.87310825,14.0288515541726
50,"1","2","0",6e+05,"7","1",72,"2","4","0","1",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,6e+05,2916.66674804688,"1","1",1131978.87310825,13.3046849341983
28,"0","2","1",949806.666666667,"7","3",24,"2","1","1","5",48,8e+05,3888.88891601562,949806.6875,8e+05,4617.11572265625,949806.6875,4617.11572265625,"0","0",1131978.87310825,13.7640137340941
54,"1","2","0",1500000,"5","1",120,"2","4","0","2",66,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1500000,5303.0302734375,"1","1",1131978.87310825,14.2209756660724
36,"0","2","0",310000,"6","3",36,"2","1","1","2",16,3e+05,4375,3e+05,1117460.30167986,4375,3e+05,4375,"0","0",1131978.87310825,12.6443275764613
53,"1","2","0",60000,"5","1",120,"2","4","0","1",40,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,60000,350,"1","1",1131978.87310825,11.0020998412042
33,"0","2","1",1591500,"7","2",24,"2","1","0","3",48,1500000,7291.66650390625,1591500,750000,7736.45849609375,1591500,7736.45849609375,"1","0",1131978.87310825,14.2801875257043
